destino_economico;descripcion_corta;descripcion_larga
A;Habitacional;Predios destinados a vivienda. Se incluyen dentro de esta clase los parqueaderos, garajes y depósitos contenidos en el reglamento de propiedad horizontal, ligado a éste destino
B;Industrial;Predios en los cuales se desarrollan actividades de elaboración y transformación de materias primas
C;Comercial;Predios destinados al intercambio de bienes y/o servicios con el fin de satisfacer las necesidades de una colectividad
D;Agropecuario;Predios con destinación agrícola y pecuaria
E;Minero ;Predios destinados a la extracción y explotación de minerales.
F;Cultural;Predios destinados al desarrollo de actividades artísticas e intelectuales.
G;Recreacional;Predios dedicados al desarrollo o a la práctica de actividades de esparcimiento y entretenimiento.
H;Salubridad;Predios destinados a clínicas, hospitales y puestos de salud.
I;Institucionales;Predios destinados a la administración y prestación de servicios del Estado y que no están incluidos en los literales de éste artículo.
J;Educativo;Predios destinados al desarrollo de actividades académicas.
K;Religioso;Predios destinados a la práctica de culto religioso.
L;Agrícola;Predios destinados a la siembra y aprovechamiento de especies vegetales.
M;Pecuario;Predios destinados a la cría, beneficio y aprovechamiento de especies animales.
N;Agroindustrial;Predios destinados a la actividad que implica cultivo y transformación en los sectores agrícola, pecuario y forestal.
O;Forestal;Predios destinados a la explotación de especies maderables y no maderables.
P;Uso_Público;Predios cuyo uso es abierto a la comunidad y que no están incluidos en los literales anteriores.
Q;Servicios_Especiales;Predios que genera alto impacto ambiental y /o Social. Entre otros, están: Centro de Almacenamiento de Combustible, Cementerios, Embalses, Rellenos Sanitarios, Lagunas de Oxidación, Mataderos, Frigoríficos y Cárceles.
