AdvertId,AdvertWASId,AdvertExternalId,ClientId,ClientName,ClientURL,AdvertCategoryId,AdvertType,TransactionId,TransactionType,Category1Id,Category2Id,Category3Id,Category1,Category2,Category3,OriginId,Location1Id,Location2Id,Location3Id,Location4Id,Location1,Location2,Location3,Location4,Title,Description,Price,FormatedPrice,ContractType,OutStanding,TopAdvert,ProductsCode,ProductLabel,PhotoUrl,NumPhotos,SemanticText,GridDate,Keywords,LocationType,Status,Phone,Phone2,Phone3,Email1,Email2,Email3,Schedule,Financing,Surface,Area,LivingArea,Address,FormatedSurface,FormatedLivingArea,Rooms,Capacity,Baths,AgeId,Ages,DeliveryDate,ConditionId,Condition,PriceM2,FormatedPriceM2,FloorId,Floor,AdministrationPrice,Neighborhood,QualityRate,WeatherId,Weather,StratumId,Stratum,ViewMapTypeId,ViewMapType,GaragesId,Garages,ParentLevel,GroupType,Extras,ExtrasId,PromotionLogoURL,ClientLogoURL,ClientParentLevel,Latitude,Longitude,GroupName,NumVideos,ModifyDate,PhoneWhatsApp,PhoneClickToCall,PriceTypeId,PriceType,Advertising,TotalEnvironment,InteriorFloors,IncludesAdministration,IsProjectWithOutProduct,extraction_year,extraction_month,extraction_day
4130658,4130658,936190,248108,Administra Bienes Raices SAS,inmobiliaria-administra-bienes-raices-sas-248108.aspx,2,Used,1,Venta,3,0,0,Local,,,23,60,6000006,0,0,Caldas,Manizales,,,Local en Venta - Manizales Avenida Santander,"Administra Bienes Raíces ofrece para la Venta Amplio local comercial con pisos en cerámica en un solo nivel con 3 metros de altura piso techo y excelente aireación e iluminación. Gran fachada en vidrio templado. Privilegiada ubicación sobre el principal corredor vial de la ciudad (Avenida Santander) en zona de importante dinámica comercial. Baño para personas de reducida movilidad,  baño de uso común y cocineta. Magífica terraza con posibilidades de techarse si se desea mayor área cubierta. Son 270 metros cubiertos más 50 metros de área descubierta. El inmueble incluye 4 parqueaderos cubiertos en la copropiedad con vigilancia y portería 24 horas y parqueadero exterior de uso común para 3 vehículos. Info: o .",1600000000,$ 1.600.000.000,Professional,False,0,,,2018/11/15/4130658/local-venta-caldas-manizales-314349230_p.jpg,14,/local-en-venta/manizales/avenida_santander-det-4130658.aspx,11/2/2020 8:56:04 PM,,-1,Active,,,,,,,,,270.0,270.0,0,Avenida Santander,"270,00 m2","320,00 m2",0,0,2,2,1 a 8 años,,0,,5925925.93,5.925.926/m²,1,1º,800000,Avenida Santander,0,0,,0,6,1,,0,4,0,0,"Interiores$Baño Auxiliar, Piso en Baldosa /  Mármol|Exteriores$Acceso Pavimentado, Ascensor, En conjunto cerrado, Garaje / Parqueadero(s), Garaje(s), Parqueadero Visitantes, Planta Eléctrica, Terraza, Vigilancia|del Sector$Cerca de Zona Urbana, Colegios / Universidades, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial","121,4,156,13,12,164,109,5,118,10,119,159,140,135,143,141,137",,248108_p.jpg,0,5.06569147109985,-75.5026245117188,,0,11/2/2020 8:56:04 PM,,,0,,,0,0,False,False,2020,11,3
5255076,0,,418511,Teresa Pinilla,teresa-pinilla-418511.aspx,2,Used,1,Venta,19,0,0,Edificio,,,44,60,6000006,0,0,Caldas,Manizales,,,Edificio en Venta - Manizales la Palma Agustinos,"edificio de 5 niveles, 03 apartamentos, 01 aparta-estudio, 01 bodega o garaje, terraza en arriendo que posee una antena de claro con un contrato vigente a 15 años. Actualmente el edificio suministra renta. ",570000000,$ 570.000.000,Particular,False,0,ADE,,2020/01/30/5255076/edificio-venta-caldas-manizales-260450734_p.jpg,1,/edificio-en-venta/manizales/palma_agustinos-det-5255076.aspx,1/30/2020 8:37:59 PM,,-1,Active,,,,,,,,,4005.0,4005.0,0,calle 15  17-47,"4.005,00 m2",,0,0,4,3,9 a 15 años,,3,Bueno,142322.1,142.322/m²,5,5º,0,la Palma Agustinos,0,0,,0,3,1,,0,,0,0,"Interiores$Comedor, Piso en Baldosa /  Mármol, Servicios Públicos, Terraza, Ubicada en edificio|Exteriores$Garaje Cubierto, Locales comerciales, Panorámica un lado, Terraza, Ubicada en edificio|del Sector$Cerca centro comercial, Parques cercanos, Sobre vía secundaria, Trans. Público cercano, Zona Residencial","211,4,175,315,316,207,256,288,10,205,264,142,189,141,139",,,0,0,0,,0,10/7/2020 1:43:32 AM,,,0,,,4,5,False,False,2020,11,3
4091900,4091900,908582,248108,Administra Bienes Raices SAS,inmobiliaria-administra-bienes-raices-sas-248108.aspx,2,Used,1,Venta,4,0,0,Oficina,,,23,60,6000006,0,0,Caldas,Manizales,,,Oficina en Venta - Manizales Palogrande,"Administra Bienes Raíces ofrece para Arrendamiento Bella oficina iluminada con grandiosa vista en exclusivo centro de negocios de la ciudad sector Palogrande. Cerca a la Avenida Santander,  El Cable,  Estadio,  Entidades Financieras y de Salud. Amplio espacio sin divisiones para adecuar varios puestos de trabajo. Pisos en porcelanato. Parqueadero. Ascensor,  baños en áreas comunes,  portería 24 horas,  sala de juntas. Info: o .",230000000,$ 230.000.000,Professional,False,0,,,2018/10/30/4091900/oficina-venta-caldas-manizales-314348640_p.jpg,12,/oficina-en-venta/manizales/palogrande-det-4091900.aspx,11/2/2020 8:41:52 PM,,-1,Active,,,,,,,,,42.0,42.0,0,Carrera 23C No. 62-06 oficina 601 parq. 43,"42,00 m2",,0,0,0,3,9 a 15 años,,0,,5476190.48,5.476.190/m²,6,6º,400000,Palogrande,0,0,,0,6,1,,0,1,0,0,"Interiores$Piso en Baldosa /  Mármol, Zona de lavandería|Exteriores$Acceso Pavimentado, Ascensor, Circuito cerrado de TV, Garaje / Parqueadero(s), Garaje(s), Oficina de negocios, Planta Eléctrica, Portería / Recepción, Vigilancia, Vista panorámica|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial","4,134,156,13,117,164,109,110,118,115,119,126,140,142,143,141,137,139",,248108_p.jpg,0,5.05869960784912,-75.48779296875,,0,11/2/2020 8:41:52 PM,,,0,,,0,0,False,False,2020,11,3
3956894,3956894,843692,248108,Administra Bienes Raices SAS,inmobiliaria-administra-bienes-raices-sas-248108.aspx,2,Used,1,Venta,3,0,0,Local,,,23,60,6000006,0,0,Caldas,Manizales,,,Local en Venta - Manizales Guayacanes,"Administra Bienes Raíces ofrece para la Venta Amplio local disponible para la venta con muy buena ubicación sector Guayacanes. Cerca al Cable,  Centro Comercial Cable Plaza,  entidades Bancarias y de Salud,  Universidades Caldas y Nacional,  Restaurantes. Ideal para oficina de servicio al cliente,  uso institucional o cualquier otra actividad permitida. 2 baños,  pisos en porcelanato. Servicio de vigilancia las 24 horas. Cómoda administración. Info: o .",390000000,$ 390.000.000,Professional,False,0,,,2018/09/16/3956894/local-venta-caldas-manizales-314340784_p.jpg,9,/local-en-venta/manizales/guayacanes-det-3956894.aspx,11/2/2020 7:39:25 PM,,-1,Active,,,,,,,,,80.0,80.0,0,Carrera 24 No. 65-30 Local 1,"80,00 m2",,0,0,2,2,1 a 8 años,,0,,4875000.0,4.875.000/m²,1,1º,0,Guayacanes,0,0,,0,6,1,,0,,0,0,"Interiores$Baño Auxiliar, Piso en Baldosa /  Mármol|Exteriores$Acceso Pavimentado, Circuito cerrado de TV, Parqueadero Visitantes, Portería / Recepción|del Sector$Colegios / Universidades, Parques cercanos, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial","121,4,156,117,5,115,140,142,143,141,137,139",,248108_p.jpg,0,5.05509662628174,-75.488166809082,,0,11/2/2020 7:39:25 PM,,,0,,,0,0,False,False,2020,11,3
3935155,3935155,835160,248108,Administra Bienes Raices SAS,inmobiliaria-administra-bienes-raices-sas-248108.aspx,2,Used,1,Venta,3,0,0,Local,,,23,60,6000006,0,0,Caldas,Manizales,,,Local en Venta - Manizales Sancancio,"Administra Bienes Raíces ofrece para la Venta Local ubicado en el centro comercial más tradicional de la ciudad,  gran vitrina con luz natural en su parte posterior. Su localización en el complejo es ideal para oficinas o cualquier actividad comercial. 1 baño,  pisos en tapete y cerámica. Info: o .",370000000,$ 370.000.000,Professional,False,0,,,2018/09/08/3935155/local-venta-caldas-manizales-314340738_p.jpg,15,/local-en-venta/manizales/sancancio-det-3935155.aspx,11/2/2020 7:38:12 PM,,-1,Active,,,,,,,,,80.0,80.0,0,Centro Comercial Sancancio Local 830,"80,00 m2",,0,0,1,0,,,0,,4625000.0,4.625.000/m²,0,,1239380,Sancancio,0,0,,0,6,1,,0,,0,0,"Interiores$Baño Auxiliar|Exteriores$Acceso Pavimentado, Parqueadero Visitantes, Vigilancia, Vista panorámica|del Sector$Colegios / Universidades, Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial","121,156,5,119,126,140,142,135,143,141,137,139",,248108_p.jpg,0,5.05382823944092,-75.4897384643555,,0,11/2/2020 7:38:12 PM,,,0,,,0,0,False,False,2020,11,3
4537462,4537462,825924,248108,Administra Bienes Raices SAS,inmobiliaria-administra-bienes-raices-sas-248108.aspx,2,Used,1,Venta,3,0,0,Local,,,23,60,6000006,0,0,Caldas,Manizales,,,Local en Venta - Manizales San Jorge,"(NUEVO) Administra Bienes Raíces ofrece para la Venta Amplio local comercial de 247 metros en agradable zona residencial de San Jorge. Cerca a la Universidad Autónoma,  Clínica de la Presentación,  La Patria y a pocos metros de la Avenida Santander. 4 baños. Adicional cuenta con un área de oficinas,  bodega (o apartamentos para uso residencial)  y 4 parqueaderos para un total de 400 metros. Info: o .",1200000000,$ 1.200.000.000,Professional,False,0,,,2019/04/25/4537462/local-venta-caldas-manizales-314340703_p.jpg,9,/local-en-venta/manizales/san_jorge-det-4537462.aspx,11/2/2020 7:36:42 PM,,-1,Active,,,,,,,,,400.0,400.0,0,Calle 44a No. 21B-08 Local,"400,00 m2",,0,0,4,2,1 a 8 años,,0,,3000000.0,3.000.000/m²,1,1º,0,San Jorge,0,0,,0,4,1,,0,3,0,0,"Exteriores$Acceso Pavimentado, Garaje / Parqueadero(s), Garaje(s), Vista panorámica|del Sector$Colegios / Universidades, Parques cercanos, Trans. Público cercano, Zona Comercial, Zona Residencial","156,164,109,126,140,142,141,137,139",,248108_p.jpg,0,5.06655931472778,-75.5027236938477,,0,11/2/2020 7:36:42 PM,,,0,,,0,0,False,False,2020,11,3
3722692,3722692,729615,248108,Administra Bienes Raices SAS,inmobiliaria-administra-bienes-raices-sas-248108.aspx,2,Used,1,Venta,3,0,0,Local,,,23,60,6000006,0,0,Caldas,Manizales,,,Local en Venta - Manizales Palogrande,"Administra Bienes Raíces ofrece para la Venta Cómodo local duplex en tradicional edificio sobre la Avenida Santander sector Palogrande. Ideal para oficina o cualquier uso comercial permitido. Edificio de uso combinado residencial y comercial. 1 baño,  pisos en cerámica y madera en el mezannine. Servicio de vigilancia las 24 horas. Local Interior. Info: o .",135000000,$ 135.000.000,Professional,False,0,,,2018/06/23/3722692/local-venta-caldas-manizales-314339208_p.jpg,10,/local-en-venta/manizales/palogrande-det-3722692.aspx,11/2/2020 7:19:28 PM,,-1,Active,,,,,,,,,37.0,37.0,0,Carrera 23 No. 62-16 local 214,"37,00 m2",,0,0,1,0,,,0,,3648648.65,3.648.649/m²,2,2º,238000,Palogrande,0,0,,0,6,1,,0,,0,0,"Interiores$Baño Auxiliar, Piso en Baldosa /  Mármol|Exteriores$Acceso Pavimentado, Portería / Recepción, Vigilancia|del Sector$Colegios / Universidades, Parques cercanos, Sobre vía principal, Supermercados / C.Comerciales, Trans. Público cercano, Zona Comercial, Zona Residencial","121,4,156,115,119,140,142,135,143,141,137,139",,248108_p.jpg,0,5.05897331237793,-75.4872360229492,,0,11/2/2020 7:19:28 PM,,,0,,,0,0,False,False,2020,11,3
3499387,3499387,587961,248108,Administra Bienes Raices SAS,inmobiliaria-administra-bienes-raices-sas-248108.aspx,2,Used,1,Venta,5,0,0,Bodega,,,23,60,6000006,0,0,Caldas,Manizales,,,Bodega en Venta - Manizales La toscana,"Administra Bienes Raíces ofrece para la Venta Amplia bodega con doble altura y puerta de acceso vehicular de carga. Zona comercial y residencial. Pequeño centro logístico de tradición. 2 baños,  mezaninne de 80 metros,  pisos en cemento. Info: o .",390000000,$ 390.000.000,Professional,False,0,,,2018/03/25/3499387/bodega-venta-caldas-manizales-314243043_p.jpg,11,/bodega-en-venta/manizales/toscana-det-3499387.aspx,11/2/2020 12:00:00 AM,,-1,Active,,,,,,,,,403.0,403.0,0,Carrera 12 Calle 64 Esquina,"403,00 m2","403,00 m2",0,0,2,0,,,0,,967741.94,967.742/m²,0,,0,La toscana,0,0,,0,6,1,,0,,0,0,"Interiores$Baño Auxiliar|Exteriores$Acceso Pavimentado|del Sector$Sobre vía principal, Trans. Público cercano, Zona Comercial, Zona Residencial","121,156,135,141,137,139",,248108_p.jpg,0,5.06139421463013,-75.4770889282227,,0,11/2/2020 12:00:00 AM,,,0,,,0,0,False,False,2020,11,3
3427659,3427659,563981,248108,Administra Bienes Raices SAS,inmobiliaria-administra-bienes-raices-sas-248108.aspx,2,Used,1,Venta,3,0,0,Local,,,23,60,6000006,0,0,Caldas,Manizales,,,Local en Venta - Manizales Avenida Santander,"Administra Bienes Raíces ofrece para la Venta Gran local comercial duplex sobre la Avenida Santander. Sector Alta Leonora. Primer nivel: 69 metros,  1 baño. Segundo nivel: 160 metros,  1 baño. Fachada en vidrio,  gran iluminación natural. Zona con alto cremimiento por su desarrollo comercial y residencial. Parqueadero doble independiente. Poreria 24 horas. Info: o .",1413340000,$ 1.413.340.000,Professional,False,0,,,2018/02/25/3427659/local-venta-caldas-manizales-314242434_p.jpg,8,/local-en-venta/manizales/avenida_santander-det-3427659.aspx,11/1/2020 11:50:50 PM,,-1,Active,,,,,,,,,229.0,229.0,0,Carrera 23 No. 53A-71 Local 1,"229,00 m2","229,00 m2",0,0,2,2,1 a 8 años,,0,,6171790.39,6.171.790/m²,1,1º,0,Avenida Santander,0,0,,0,6,1,,0,2,0,0,"Interiores$Baño Auxiliar|Exteriores$Acceso Pavimentado, Circuito cerrado de TV, Garaje / Parqueadero(s), Garaje(s), Parqueadero Visitantes, Portería / Recepción, Vigilancia, Vista panorámica|del Sector$Colegios / Universidades, Parques cercanos, Sobre vía principal, Trans. Público cercano, Zona Comercial, Zona Residencial","121,156,117,164,109,5,115,119,126,140,142,135,141,137,139",,248108_p.jpg,0,5.06306838989258,-75.495361328125,,0,11/1/2020 11:50:50 PM,,,0,,,0,0,False,False,2020,11,3
3328371,3328371,538797,248108,Administra Bienes Raices SAS,inmobiliaria-administra-bienes-raices-sas-248108.aspx,2,Used,1,Venta,3,0,0,Local,,,23,60,6000006,0,0,Caldas,Manizales,,,Local en Venta - Manizales Centro,"Administra Bienes Raíces ofrece para la venta Gran local de dos niveles con pisos en cerámica,  iluminación LED. Magnífica luz natural y altura (3 metros en el primer piso y 2, 8 metros en el segundo nivel). Puerta en lámina plegable en el primer nivel. 1 baño y poceta y área de depósito. Construcción completamente nueva. Info: o .",550000000,$ 550.000.000,Professional,False,0,,,2018/01/19/3328371/local-venta-caldas-manizales-314239962_p.jpg,11,/local-en-venta/manizales/centro-det-3328371.aspx,11/1/2020 11:21:07 PM,,-1,Active,,,,,,,,,90.0,90.0,0,Carrera 25 No. 18-62,"90,00 m2","180,00 m2",0,0,1,0,,,0,,6111111.11,6.111.111/m²,0,,0,Centro,0,0,,0,6,1,,0,,0,0,"Interiores$Baño Auxiliar, Piso en Baldosa /  Mármol|del Sector$Parques cercanos, Sobre vía principal, Trans. Público cercano, Zona Comercial, Zona Residencial","121,4,142,135,141,137,139",,248108_p.jpg,0,5.06567001342773,-75.5198364257813,,0,11/1/2020 11:21:07 PM,,,0,,,0,0,False,False,2020,11,3
